Parit,Teur_parit,Quantity,price_parit,Size,Shelf_Number,Teur_order,CategoryID,Related,ExpDate,incomeQuantity,DateStartStatistic
000000000002026333,טי מגולון 3/4,66,6.6,מר,21,טי מגולון 3/4,23,,,52,9/19/2019
000000000002026390,קופסא פלסטיק - 8,59,19,יח,25,קופסא פלסטיק - 8,1,,,81,9/19/2019
000000000002026391,קופסא פלסטיק - 10,0,22.89,יח,25,קופסא פלסטיק - 10,1,,,61,9/19/2019
000000000002026392,דלי פלסטיק 10 ליטר,539,3.52,יח,25,דלי פלסטיק 10 ליטר,31,,,315,9/19/2019
000000000002026393,דלי פלסטיק 25 ליטר,75,16,יח,25,דלי פלסטיק 25 ליטר,31,,,33,9/19/2019
000000000002026394,מתקן לנייר תעשייתי,1,69.64,יח,1,מתקן לנייר תעשייתי,1,,,10,9/19/2019
000000000002026395,קצף פוליאריטן,14,35.22,יח,2,קצף פוליאריטן,1,,,9,9/19/2019
000000000002026396,אלקטרודות זיקה 3.25 ממ,9,117.73,יח,19,אלקטרודות זיקה 3.25 ממ,30,,,4,9/19/2019
000000000002026397,זווית פלסטיק 1/2 - 1,36,4.37,יח,19,זווית פלסטיק 1/2 - 1,23,,,124,9/19/2019
000000000002026399,זווית אס פי 1/2 - 1,7,17.34,יח,19,זווית אס פי 1/2 - 1,23,,,36,9/19/2019
000000000002026400,זווית דורה,41,12.48,יח,20,זווית דורה,23,,,25,9/19/2019
000000000002026401,זווית 3/4 - 16,124,7.07,יח,20,זווית 3/4 - 16,23,,,140,9/19/2019
000000000002026402,זווית פלסטיק 25-25,70,7.34,יח,20,זווית פלסטיק 25-25,23,,,144,9/19/2019
000000000002026403,זווית פלסטיק 20-20,149,6.24,יח,20,זווית פלסטיק 20-20,23,,,172,9/19/2019
000000000002026404,זווית פלסטיק 32-32,61,20.78,יח,20,זווית פלסטיק 32-32,23,,,5,9/19/2019
000000000002026405,קופלונג 1/2 או 3/4,5,34.47,יח,21,קופלונג 1/2 או 3/4,1,,,7,9/19/2019
